,ROI,Mean_CV
0,3rd_ventricle,0.016073144292808997
1,4th_ventricle,0.028252640937460324
2,HippocampusAsymmetryIndex,0.4411990612115048
3,HippocampusOccupancyScore,0.010211467203280708
4,accumbens_area,0.022255968623688355
5,amygdala,0.028160969569631343
6,brain_stem,0.010599909918264186
7,caudate,0.0052851970813325815
8,cerebellum,0.013450140476874727
9,cerebellum_cortex,0.012499876565652103
10,cerebellum_white_matter,0.02773724440830972
11,cingulate,0.00959873598880939
12,combined_cerebral_wm,0.0029431797692558792
13,cortical_gm,0.007608317531553348
14,csf,0.016410956169961886
15,ctx_lh_caudalanteriorcingulate,0.018133133507972462
16,ctx_lh_caudalmiddlefrontal,0.011760905863939766
17,ctx_lh_cuneus,0.01491613083309001
18,ctx_lh_entorhinal,0.06263199842829538
19,ctx_lh_fusiform,0.018811473510049206
20,ctx_lh_inferiorparietal,0.01383056207406287
21,ctx_lh_inferiortemporal,0.017933738368063272
22,ctx_lh_insula,0.012462434223995808
23,ctx_lh_isthmuscingulate,0.014691320710291993
24,ctx_lh_lateraloccipital,0.012854824207511106
25,ctx_lh_lateralorbitofrontal,0.018900602647143657
26,ctx_lh_lingual,0.014500525796914548
27,ctx_lh_medialorbitofrontal,0.018394769591170188
28,ctx_lh_middletemporal,0.014787975144247253
29,ctx_lh_paracentral,0.011612959512113913
30,ctx_lh_parahippocampal,0.036504612936114594
31,ctx_lh_parsopercularis,0.013115421561298487
32,ctx_lh_parsorbitalis,0.021946266528171752
33,ctx_lh_parstriangularis,0.014356733578393928
34,ctx_lh_pericalcarine,0.022668559500837175
35,ctx_lh_postcentral,0.009861503722835023
36,ctx_lh_posteriorcingulate,0.015328246267830976
37,ctx_lh_precentral,0.008426930974461922
38,ctx_lh_precuneus,0.012536973533765077
39,ctx_lh_rostralanteriorcingulate,0.02328756292076606
40,ctx_lh_rostralmiddlefrontal,0.013003128799682302
41,ctx_lh_superiorfrontal,0.008452707906033193
42,ctx_lh_superiorparietal,0.011093311736830662
43,ctx_lh_superiortemporal,0.013881974465967697
44,ctx_lh_supramarginal,0.010753989941685705
45,ctx_lh_transversetemporal,0.01718011498143563
46,ctx_rh_caudalanteriorcingulate,0.017865048505090294
47,ctx_rh_caudalmiddlefrontal,0.01459783054252228
48,ctx_rh_cuneus,0.015043284538358884
49,ctx_rh_entorhinal,0.06584204940567218
50,ctx_rh_fusiform,0.020120573498687764
51,ctx_rh_inferiorparietal,0.013227291490181954
52,ctx_rh_inferiortemporal,0.020080000373156055
53,ctx_rh_insula,0.014009640098642374
54,ctx_rh_isthmuscingulate,0.015521150548036329
55,ctx_rh_lateraloccipital,0.01182111823135706
56,ctx_rh_lateralorbitofrontal,0.017583135437344587
57,ctx_rh_lingual,0.014318207449705125
58,ctx_rh_medialorbitofrontal,0.018402988204824885
59,ctx_rh_middletemporal,0.014154595476706373
60,ctx_rh_paracentral,0.01180530819755285
61,ctx_rh_parahippocampal,0.03808022477297268
62,ctx_rh_parsopercularis,0.014469622035276578
63,ctx_rh_parsorbitalis,0.02378908801184166
64,ctx_rh_parstriangularis,0.01673092129522938
65,ctx_rh_pericalcarine,0.019002843267833133
66,ctx_rh_postcentral,0.00987756491656281
67,ctx_rh_posteriorcingulate,0.015354923163980856
68,ctx_rh_precentral,0.009281992326005446
69,ctx_rh_precuneus,0.011469975436622117
70,ctx_rh_rostralanteriorcingulate,0.02697960939295676
71,ctx_rh_rostralmiddlefrontal,0.013937157298728716
72,ctx_rh_superiorfrontal,0.009198815598625214
73,ctx_rh_superiorparietal,0.01085186829639133
74,ctx_rh_superiortemporal,0.014226536376945717
75,ctx_rh_supramarginal,0.011906226479344086
76,ctx_rh_transversetemporal,0.020278006089243992
77,frontal,0.007713535177676368
78,hippocampus,0.013132924416034761
79,inf_lat_vent,0.03060635415492344
80,insula,0.010970274208586846
81,intracranial_without_tissue,0.007918130272407549
82,lateral_ventricle,0.0050556928689919406
83,left_accumbens_area,0.02782345437917414
84,left_amygdala,0.03372418694708155
85,left_caudate,0.007185806349254861
86,left_cerebellum,0.01425903501928472
87,left_cerebellum_cortex,0.013765370997343995
88,left_cerebellum_white_matter,0.027520420355022664
89,left_cerebral_white_matter,0.0031008116658003933
90,left_cingulate,0.011653268630037615
91,left_combined_cerebral_wm,0.002962087545765905
92,left_cortical_gm,0.007790523996980362
93,left_frontal,0.007656009351457064
94,left_hippocampus,0.014840710316045324
95,left_inf_lat_vent,0.03425291213657656
96,left_insula,0.012462434223995808
97,left_lateral_ventricle,0.005561599491130557
98,left_occipital,0.010004762740976827
99,left_pallidum,0.013019095449154423
100,left_parietal,0.008761083378466275
101,left_putamen,0.007381931663626349
102,left_temporal,0.012111958586191964
103,left_thalamus,0.006570148281565533
104,left_total_lateral_ventricle,0.0068717731262772875
105,left_ventraldc,0.010157473625438082
106,left_wm_hypointensities,0.0298216355264773
107,occipital,0.008604053490037317
108,pallidum,0.009618818918649963
109,parietal,0.008157471822022816
110,putamen,0.006512966401162659
111,right_accumbens_area,0.027260589579872933
112,right_amygdala,0.03226503032425074
113,right_caudate,0.006931243677950987
114,right_cerebellum,0.014088070475636982
115,right_cerebellum_cortex,0.013183731218247764
116,right_cerebellum_white_matter,0.03168818238404006
117,right_cerebral_white_matter,0.0034068600167499108
118,right_cingulate,0.011678068924591247
119,right_combined_cerebral_wm,0.003265800739283697
120,right_cortical_gm,0.0079090994609541
121,right_frontal,0.00845979632486387
122,right_hippocampus,0.016913285412727755
123,right_inf_lat_vent,0.03791099380429395
124,right_insula,0.014009640098642374
