,Subject_ID,ROI,mean,var,std,CV
12,0027152_session_1,Pallidum,1885.1279711723328,847.0727740928652,29.104514668567575,0.015439012689662608
33,0027152_session_2,Pallidum,1885.1279711723328,847.0727740928652,29.104514668567575,0.015439012689662608
54,0027154_session_1,Pallidum,2166.902466863394,4981.317332149855,70.57844807127637,0.03257112359719594
75,0027154_session_2,Pallidum,2192.4559664726257,6641.050548888063,81.49264107198921,0.037169567972259066
96,0027156_session_1,Pallidum,2271.1744652688503,1524.7898178653581,39.04855718032816,0.017193112100133526
117,0027156_session_2,Pallidum,2226.755965948105,1024.9580566523668,32.01496613542433,0.01437740220527176
138,0027157_session_1,Pallidum,2637.669959664345,3915.5938982442694,62.57470653742029,0.023723478484542166
159,0027157_session_2,Pallidum,2637.32695966959,933.8977334373839,30.559740401995956,0.011587391654246975
180,0027158_session_1,Pallidum,2133.116967380047,2.117681935232163,1.4552257334283787,0.0006822062529537361
201,0027158_session_2,Pallidum,2131.916467398405,248.53350489877468,15.764945445474103,0.0073947294307980995
222,0027160_session_1,Pallidum,2392.939463406801,8272.195059500636,90.95160833927368,0.03800831977996923
243,0027160_session_2,Pallidum,2422.265962958336,6328.574814444917,79.55234009408471,0.03284211614686882
264,0027161_session_1,Pallidum,1857.6879715919495,159.0614431352158,12.611956356379283,0.006789060676089452
285,0027161_session_2,Pallidum,1857.6879715919495,159.0614431352158,12.611956356379283,0.006789060676089452
306,0027162_session_1,Pallidum,2133.4599673748016,2744.515788060883,52.38812640342164,0.024555476645706474
327,0027162_session_2,Pallidum,2133.4599673748016,2744.515788060883,52.38812640342164,0.024555476645706474
348,0027164_session_1,Pallidum,2452.1069625020027,3617.9419373477485,60.149330315039656,0.0245296519421267
369,0027164_session_2,Pallidum,2452.1069625020027,3617.9419373477485,60.149330315039656,0.0245296519421267
390,0027165_session_1,Pallidum,2204.1179662942886,1822.1476562708744,42.68662151389911,0.01936675902409467
411,0027165_session_2,Pallidum,2204.1179662942886,1822.1476562708744,42.68662151389911,0.01936675902409467
432,0027166_session_1,Pallidum,2146.665467172861,3084.8155101530515,55.541115492516454,0.025873204904005652
453,0027166_session_2,Pallidum,2146.665467172861,3084.8155101530515,55.541115492516454,0.025873204904005652
474,0027169_session_1,Pallidum,2196.914966404438,103.76641482637598,10.186580133998651,0.004636765778272443
495,0027169_session_2,Pallidum,2196.914966404438,103.76641482637598,10.186580133998651,0.004636765778272443
516,0027170_session_1,Pallidum,2221.267966032028,4546.192518957847,67.42545898218155,0.030354491224499725
537,0027170_session_2,Pallidum,2221.267966032028,4546.192518957847,67.42545898218155,0.030354491224499725
558,0027171_session_1,Pallidum,2686.71895891428,8228.135510348167,90.70907071703562,0.03376202427725888
579,0027171_session_2,Pallidum,2686.71895891428,8228.135510348167,90.70907071703562,0.03376202427725888
600,0027172_session_1,Pallidum,2430.497962832451,1948.5026784063934,44.14184724732749,0.018161647498723066
621,0027172_session_2,Pallidum,2430.497962832451,1948.5026784063934,44.14184724732749,0.018161647498723066
642,0027173_session_1,Pallidum,2493.78146186471,2472.099536892546,49.72021255880294,0.01993767830867784
663,0027173_session_2,Pallidum,2493.78146186471,2472.099536892546,49.72021255880294,0.01993767830867784
684,0027174_session_1,Pallidum,2381.7919635772705,26248.902885195464,162.01513165502618,0.06802236892750774
705,0027174_session_2,Pallidum,2381.7919635772705,26248.902885195464,162.01513165502618,0.06802236892750774
714,0027203_session_1,Accumbens-area,1051.8094839155674,264.06317242381056,16.25002068995023,0.015449585631664335
715,0027203_session_1,Amygdala,3683.305443674326,751.130017527208,27.406751312901132,0.007440803303448327
716,0027203_session_1,Brain-Stem,21907.066664993763,376.47678848571786,19.40300977904505,0.0008856963862738386
717,0027203_session_1,CSF,884.9399864673615,103.76641482637598,10.186580133998651,0.011511040623967052
718,0027203_session_1,Caudate,7975.950378030539,177.94410705770258,13.339569223093472,0.0016724739486640768
719,0027203_session_1,Cerebellum,151626.57768130302,6800.111992023279,82.46279156094147,0.00054385446682221
720,0027203_session_1,Cingulate,26632.920592725277,103.76641482637598,10.186580133998651,0.00038248077594543246
721,0027203_session_1,Combined-Cerebral-WM,505308.44977274537,340242.36820642254,583.3029814825418,0.0011543503413506606
722,0027203_session_1,Frontal,189256.2496058643,81768.46430366808,285.9518566186764,0.00151092424801921
723,0027203_session_1,Hippocampus,9705.184851586819,588.2449820089341,24.253762223806312,0.0024990520628610973
724,0027203_session_1,Insula,13758.072789609432,226.12137108423428,15.037332578759914,0.0010929824844448143
725,0027203_session_1,Occipital,54316.107169389725,116617.45000133596,341.4929721111929,0.006287140038335515
726,0027203_session_1,Pallidum,2330.6849643588066,1824.8143668559815,42.71784599972219,0.018328451357849763
727,0027203_session_1,Parietal,127576.27554908395,10327.287728647048,101.62326371774844,0.000796568666708331
728,0027203_session_1,Putamen,11258.460327833891,7923.012838180133,89.01130736136916,0.007906170539261898
729,0027203_session_1,Temporal,126231.54406964779,1948.5026784063934,44.14184724732749,0.00034968951360503354
730,0027203_session_1,Thalamus,19441.582702696323,5653.034277105858,75.18666289379958,0.0038673118358502805
731,0027203_session_1,Total-Lateral-Ventricle,9762.294350713491,2472.099536892546,49.72021255880294,0.005093086806501493
732,0027203_session_1,VentralDC,9351.551856994629,23.529799280357366,4.850752444761262,0.0005187109603774556
733,0027203_session_1,rd-Ventricle,576.9259911775589,103.76641482637598,10.186580133998651,0.017656649708582044
734,0027203_session_1,th-Ventricle,1758.5609731078148,711.7764282308103,26.679138446186943,0.015171005642777496
